time,latitud,longitud,dd_Valor,ff_Valor,VRB_Valor,CodigoNacional,nombreEstacion
2023-01-06 20:00:00,-18.35555,-70.34028,200.0,14.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 21:00:00,-18.35555,-70.34028,220.0,10.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 22:00:00,-18.35555,-70.34028,220.0,7.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-06 23:00:00,-18.35555,-70.34028,220.0,5.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 00:00:00,-18.35555,-70.34028,230.0,5.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 01:00:00,-18.35555,-70.34028,,2.0,1.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 02:00:00,-18.35555,-70.34028,340.0,5.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 03:00:00,-18.35555,-70.34028,340.0,6.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 04:00:00,-18.35555,-70.34028,340.0,5.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 05:00:00,-18.35555,-70.34028,360.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 06:00:00,-18.35555,-70.34028,30.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 07:00:00,-18.35555,-70.34028,40.0,6.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 08:00:00,-18.35555,-70.34028,50.0,6.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 09:00:00,-18.35555,-70.34028,100.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 10:00:00,-18.35555,-70.34028,120.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 11:00:00,-18.35555,-70.34028,130.0,4.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 12:00:00,-18.35555,-70.34028,110.0,3.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 13:00:00,-18.35555,-70.34028,,3.0,1.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 14:00:00,-18.35555,-70.34028,240.0,5.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 15:00:00,-18.35555,-70.34028,230.0,10.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 16:00:00,-18.35555,-70.34028,220.0,12.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 17:00:00,-18.35555,-70.34028,210.0,14.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 18:00:00,-18.35555,-70.34028,210.0,15.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 19:00:00,-18.35555,-70.34028,200.0,16.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 20:00:00,-18.35555,-70.34028,200.0,15.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 21:00:00,-18.35555,-70.34028,210.0,11.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 22:00:00,-18.35555,-70.34028,200.0,9.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 23:00:00,-18.35555,-70.34028,200.0,7.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 00:00:00,-18.35555,-70.34028,180.0,3.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 01:00:00,-18.35555,-70.34028,,2.0,1.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 02:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 03:00:00,-18.35555,-70.34028,0.0,0.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 04:00:00,-18.35555,-70.34028,50.0,3.0,0.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 05:00:00,-18.35555,-70.34028,30.0,7.0,0.0,180005.0,"Chacalluta, Arica Ap."
