time,latitud,longitud,Td_Valor,CodigoNacional,nombreEstacion
1952-01-07 11:00:00,-34.96944,-71.21694,10.0,340031.0,"General Freire, Curicó Ad."
1952-01-07 12:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-07 13:00:00,-34.96944,-71.21694,8.0,340031.0,"General Freire, Curicó Ad."
1952-01-07 14:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-07 15:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-07 16:00:00,-34.96944,-71.21694,15.0,340031.0,"General Freire, Curicó Ad."
1952-01-07 17:00:00,-34.96944,-71.21694,16.0,340031.0,"General Freire, Curicó Ad."
1952-01-07 18:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-07 19:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-07 20:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-07 21:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-07 22:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-07 23:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-08 10:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-08 11:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
1952-01-08 12:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-08 13:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-08 14:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-08 15:00:00,-34.96944,-71.21694,13.0,340031.0,"General Freire, Curicó Ad."
1952-01-08 16:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-08 17:00:00,-34.96944,-71.21694,14.0,340031.0,"General Freire, Curicó Ad."
1952-01-08 18:00:00,-34.96944,-71.21694,17.0,340031.0,"General Freire, Curicó Ad."
1952-01-08 19:00:00,-34.96944,-71.21694,18.0,340031.0,"General Freire, Curicó Ad."
1952-01-08 20:00:00,-34.96944,-71.21694,18.0,340031.0,"General Freire, Curicó Ad."
1952-01-08 21:00:00,-34.96944,-71.21694,16.0,340031.0,"General Freire, Curicó Ad."
1952-01-08 22:00:00,-34.96944,-71.21694,18.0,340031.0,"General Freire, Curicó Ad."
1952-01-08 23:00:00,-34.96944,-71.21694,15.0,340031.0,"General Freire, Curicó Ad."
1952-01-09 10:00:00,-34.96944,-71.21694,11.0,340031.0,"General Freire, Curicó Ad."
1952-01-09 11:00:00,-34.96944,-71.21694,12.0,340031.0,"General Freire, Curicó Ad."
