time,latitud,longitud,TnAM,CodigoNacional,nombreEstacion
1956-03-22 12:00:00,-18.35555,-70.34028,14.2,180005.0,"Chacalluta, Arica Ap."
1956-03-23 12:00:00,-18.35555,-70.34028,13.8,180005.0,"Chacalluta, Arica Ap."
1956-03-24 12:00:00,-18.35555,-70.34028,14.6,180005.0,"Chacalluta, Arica Ap."
1956-03-26 12:00:00,-18.35555,-70.34028,15.2,180005.0,"Chacalluta, Arica Ap."
1956-03-27 12:00:00,-18.35555,-70.34028,13.2,180005.0,"Chacalluta, Arica Ap."
1956-03-28 12:00:00,-18.35555,-70.34028,12.2,180005.0,"Chacalluta, Arica Ap."
1956-03-29 12:00:00,-18.35555,-70.34028,15.4,180005.0,"Chacalluta, Arica Ap."
1956-03-30 12:00:00,-18.35555,-70.34028,14.7,180005.0,"Chacalluta, Arica Ap."
1956-03-31 12:00:00,-18.35555,-70.34028,11.6,180005.0,"Chacalluta, Arica Ap."
1956-04-01 12:00:00,-18.35555,-70.34028,10.6,180005.0,"Chacalluta, Arica Ap."
1956-04-02 12:00:00,-18.35555,-70.34028,11.7,180005.0,"Chacalluta, Arica Ap."
1956-04-03 12:00:00,-18.35555,-70.34028,13.7,180005.0,"Chacalluta, Arica Ap."
1956-04-04 12:00:00,-18.35555,-70.34028,18.3,180005.0,"Chacalluta, Arica Ap."
1956-04-05 12:00:00,-18.35555,-70.34028,15.4,180005.0,"Chacalluta, Arica Ap."
1956-04-06 12:00:00,-18.35555,-70.34028,16.5,180005.0,"Chacalluta, Arica Ap."
1956-04-07 12:00:00,-18.35555,-70.34028,16.7,180005.0,"Chacalluta, Arica Ap."
1956-04-08 12:00:00,-18.35555,-70.34028,15.6,180005.0,"Chacalluta, Arica Ap."
1956-04-09 12:00:00,-18.35555,-70.34028,15.5,180005.0,"Chacalluta, Arica Ap."
1956-04-10 12:00:00,-18.35555,-70.34028,14.6,180005.0,"Chacalluta, Arica Ap."
1956-04-11 12:00:00,-18.35555,-70.34028,10.4,180005.0,"Chacalluta, Arica Ap."
1956-04-12 12:00:00,-18.35555,-70.34028,10.4,180005.0,"Chacalluta, Arica Ap."
1956-04-13 12:00:00,-18.35555,-70.34028,11.8,180005.0,"Chacalluta, Arica Ap."
1956-04-14 12:00:00,-18.35555,-70.34028,11.9,180005.0,"Chacalluta, Arica Ap."
1956-04-15 12:00:00,-18.35555,-70.34028,16.7,180005.0,"Chacalluta, Arica Ap."
1956-04-16 12:00:00,-18.35555,-70.34028,16.9,180005.0,"Chacalluta, Arica Ap."
1956-04-17 12:00:00,-18.35555,-70.34028,12.8,180005.0,"Chacalluta, Arica Ap."
1956-04-18 12:00:00,-18.35555,-70.34028,12.9,180005.0,"Chacalluta, Arica Ap."
1956-04-19 12:00:00,-18.35555,-70.34028,12.0,180005.0,"Chacalluta, Arica Ap."
1956-04-20 12:00:00,-18.35555,-70.34028,9.6,180005.0,"Chacalluta, Arica Ap."
1956-04-21 12:00:00,-18.35555,-70.34028,11.0,180005.0,"Chacalluta, Arica Ap."
1956-04-22 12:00:00,-18.35555,-70.34028,8.8,180005.0,"Chacalluta, Arica Ap."
1956-04-23 12:00:00,-18.35555,-70.34028,9.6,180005.0,"Chacalluta, Arica Ap."
1956-04-24 12:00:00,-18.35555,-70.34028,10.0,180005.0,"Chacalluta, Arica Ap."
1956-04-25 12:00:00,-18.35555,-70.34028,9.8,180005.0,"Chacalluta, Arica Ap."
1956-04-26 12:00:00,-18.35555,-70.34028,10.8,180005.0,"Chacalluta, Arica Ap."
1956-04-27 12:00:00,-18.35555,-70.34028,9.8,180005.0,"Chacalluta, Arica Ap."
1956-04-28 12:00:00,-18.35555,-70.34028,9.2,180005.0,"Chacalluta, Arica Ap."
1956-04-29 12:00:00,-18.35555,-70.34028,8.6,180005.0,"Chacalluta, Arica Ap."
1956-04-30 12:00:00,-18.35555,-70.34028,9.2,180005.0,"Chacalluta, Arica Ap."
1956-05-01 12:00:00,-18.35555,-70.34028,11.9,180005.0,"Chacalluta, Arica Ap."
1956-05-02 12:00:00,-18.35555,-70.34028,13.8,180005.0,"Chacalluta, Arica Ap."
1956-05-03 12:00:00,-18.35555,-70.34028,14.4,180005.0,"Chacalluta, Arica Ap."
1956-05-04 12:00:00,-18.35555,-70.34028,14.6,180005.0,"Chacalluta, Arica Ap."
1956-05-05 12:00:00,-18.35555,-70.34028,14.8,180005.0,"Chacalluta, Arica Ap."
1956-05-06 12:00:00,-18.35555,-70.34028,15.2,180005.0,"Chacalluta, Arica Ap."
1956-05-07 12:00:00,-18.35555,-70.34028,15.2,180005.0,"Chacalluta, Arica Ap."
