time,latitud,longitud,HR_Valor,CodigoNacional,nombreEstacion
2023-01-07 18:00:00,-18.35555,-70.34028,62.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 19:00:00,-18.35555,-70.34028,65.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 20:00:00,-18.35555,-70.34028,65.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 21:00:00,-18.35555,-70.34028,67.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 22:00:00,-18.35555,-70.34028,68.0,180005.0,"Chacalluta, Arica Ap."
2023-01-07 23:00:00,-18.35555,-70.34028,70.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 00:00:00,-18.35555,-70.34028,72.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 01:00:00,-18.35555,-70.34028,72.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 02:00:00,-18.35555,-70.34028,74.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 03:00:00,-18.35555,-70.34028,71.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 04:00:00,-18.35555,-70.34028,69.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 05:00:00,-18.35555,-70.34028,66.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 06:00:00,-18.35555,-70.34028,65.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 07:00:00,-18.35555,-70.34028,62.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 08:00:00,-18.35555,-70.34028,64.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 09:00:00,-18.35555,-70.34028,65.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 10:00:00,-18.35555,-70.34028,65.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 11:00:00,-18.35555,-70.34028,64.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 12:00:00,-18.35555,-70.34028,57.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 13:00:00,-18.35555,-70.34028,61.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 14:00:00,-18.35555,-70.34028,57.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 15:00:00,-18.35555,-70.34028,58.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 16:00:00,-18.35555,-70.34028,55.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 17:00:00,-18.35555,-70.34028,64.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 18:00:00,-18.35555,-70.34028,59.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 19:00:00,-18.35555,-70.34028,63.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 20:00:00,-18.35555,-70.34028,65.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 21:00:00,-18.35555,-70.34028,67.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 22:00:00,-18.35555,-70.34028,70.0,180005.0,"Chacalluta, Arica Ap."
2023-01-08 23:00:00,-18.35555,-70.34028,74.0,180005.0,"Chacalluta, Arica Ap."
