time,latitud,longitud,Ts_Valor,CodigoNacional,nombreEstacion
1957-01-15 21:00:00,-18.35555,-70.34028,28.4,180005.0,"Chacalluta, Arica Ap."
1957-01-16 06:00:00,-18.35555,-70.34028,19.3,180005.0,"Chacalluta, Arica Ap."
1957-01-16 09:00:00,-18.35555,-70.34028,18.7,180005.0,"Chacalluta, Arica Ap."
1957-01-16 12:00:00,-18.35555,-70.34028,20.4,180005.0,"Chacalluta, Arica Ap."
1957-01-16 15:00:00,-18.35555,-70.34028,27.2,180005.0,"Chacalluta, Arica Ap."
1957-01-16 18:00:00,-18.35555,-70.34028,28.8,180005.0,"Chacalluta, Arica Ap."
1957-01-16 21:00:00,-18.35555,-70.34028,28.2,180005.0,"Chacalluta, Arica Ap."
1957-01-17 06:00:00,-18.35555,-70.34028,18.3,180005.0,"Chacalluta, Arica Ap."
1957-01-17 09:00:00,-18.35555,-70.34028,16.8,180005.0,"Chacalluta, Arica Ap."
1957-01-17 12:00:00,-18.35555,-70.34028,20.0,180005.0,"Chacalluta, Arica Ap."
1957-01-17 15:00:00,-18.35555,-70.34028,25.3,180005.0,"Chacalluta, Arica Ap."
1957-01-17 18:00:00,-18.35555,-70.34028,29.0,180005.0,"Chacalluta, Arica Ap."
1957-01-17 21:00:00,-18.35555,-70.34028,28.5,180005.0,"Chacalluta, Arica Ap."
1957-01-18 06:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1957-01-18 09:00:00,-18.35555,-70.34028,21.4,180005.0,"Chacalluta, Arica Ap."
1957-01-18 12:00:00,-18.35555,-70.34028,21.4,180005.0,"Chacalluta, Arica Ap."
1957-01-18 15:00:00,-18.35555,-70.34028,25.8,180005.0,"Chacalluta, Arica Ap."
1957-01-18 18:00:00,-18.35555,-70.34028,28.1,180005.0,"Chacalluta, Arica Ap."
1957-01-18 21:00:00,-18.35555,-70.34028,27.2,180005.0,"Chacalluta, Arica Ap."
1957-01-19 06:00:00,-18.35555,-70.34028,16.8,180005.0,"Chacalluta, Arica Ap."
1957-01-19 09:00:00,-18.35555,-70.34028,16.2,180005.0,"Chacalluta, Arica Ap."
1957-01-19 12:00:00,-18.35555,-70.34028,19.0,180005.0,"Chacalluta, Arica Ap."
1957-01-19 15:00:00,-18.35555,-70.34028,26.6,180005.0,"Chacalluta, Arica Ap."
1957-01-19 18:00:00,-18.35555,-70.34028,25.7,180005.0,"Chacalluta, Arica Ap."
1957-01-19 21:00:00,-18.35555,-70.34028,25.6,180005.0,"Chacalluta, Arica Ap."
1957-01-20 06:00:00,-18.35555,-70.34028,16.2,180005.0,"Chacalluta, Arica Ap."
1957-01-20 09:00:00,-18.35555,-70.34028,15.0,180005.0,"Chacalluta, Arica Ap."
1957-01-20 12:00:00,-18.35555,-70.34028,19.8,180005.0,"Chacalluta, Arica Ap."
1957-01-20 15:00:00,-18.35555,-70.34028,26.5,180005.0,"Chacalluta, Arica Ap."
1957-01-20 18:00:00,-18.35555,-70.34028,26.8,180005.0,"Chacalluta, Arica Ap."
1957-01-20 21:00:00,-18.35555,-70.34028,25.6,180005.0,"Chacalluta, Arica Ap."
1957-01-21 06:00:00,-18.35555,-70.34028,16.8,180005.0,"Chacalluta, Arica Ap."
1957-01-21 09:00:00,-18.35555,-70.34028,15.8,180005.0,"Chacalluta, Arica Ap."
1957-01-21 12:00:00,-18.35555,-70.34028,20.5,180005.0,"Chacalluta, Arica Ap."
1957-01-21 15:00:00,-18.35555,-70.34028,26.2,180005.0,"Chacalluta, Arica Ap."
1957-01-21 18:00:00,-18.35555,-70.34028,26.3,180005.0,"Chacalluta, Arica Ap."
1957-01-21 21:00:00,-18.35555,-70.34028,28.8,180005.0,"Chacalluta, Arica Ap."
