time,latitud,longitud,QFE_Valor,CodigoNacional,nombreEstacion
2023-01-04 13:00:00,-18.35555,-70.34028,1010.7,180005.0,"Chacalluta, Arica Ap."
2023-01-04 14:00:00,-18.35555,-70.34028,1010.5,180005.0,"Chacalluta, Arica Ap."
2023-01-04 15:00:00,-18.35555,-70.34028,1010.5,180005.0,"Chacalluta, Arica Ap."
2023-01-04 16:00:00,-18.35555,-70.34028,1010.1,180005.0,"Chacalluta, Arica Ap."
2023-01-04 17:00:00,-18.35555,-70.34028,1009.7,180005.0,"Chacalluta, Arica Ap."
2023-01-04 18:00:00,-18.35555,-70.34028,1009.3,180005.0,"Chacalluta, Arica Ap."
2023-01-04 19:00:00,-18.35555,-70.34028,1008.9,180005.0,"Chacalluta, Arica Ap."
2023-01-04 20:00:00,-18.35555,-70.34028,1008.6,180005.0,"Chacalluta, Arica Ap."
2023-01-04 21:00:00,-18.35555,-70.34028,1008.8,180005.0,"Chacalluta, Arica Ap."
2023-01-04 22:00:00,-18.35555,-70.34028,1009.0,180005.0,"Chacalluta, Arica Ap."
2023-01-04 23:00:00,-18.35555,-70.34028,1009.8,180005.0,"Chacalluta, Arica Ap."
2023-01-05 00:00:00,-18.35555,-70.34028,1010.5,180005.0,"Chacalluta, Arica Ap."
2023-01-05 01:00:00,-18.35555,-70.34028,1011.4,180005.0,"Chacalluta, Arica Ap."
2023-01-05 02:00:00,-18.35555,-70.34028,1011.7,180005.0,"Chacalluta, Arica Ap."
2023-01-05 03:00:00,-18.35555,-70.34028,1012.4,180005.0,"Chacalluta, Arica Ap."
2023-01-05 04:00:00,-18.35555,-70.34028,1012.2,180005.0,"Chacalluta, Arica Ap."
2023-01-05 05:00:00,-18.35555,-70.34028,1012.4,180005.0,"Chacalluta, Arica Ap."
2023-01-05 06:00:00,-18.35555,-70.34028,1012.1,180005.0,"Chacalluta, Arica Ap."
2023-01-05 07:00:00,-18.35555,-70.34028,1011.6,180005.0,"Chacalluta, Arica Ap."
2023-01-05 08:00:00,-18.35555,-70.34028,1011.5,180005.0,"Chacalluta, Arica Ap."
2023-01-05 09:00:00,-18.35555,-70.34028,1011.2,180005.0,"Chacalluta, Arica Ap."
2023-01-05 10:00:00,-18.35555,-70.34028,1010.9,180005.0,"Chacalluta, Arica Ap."
2023-01-05 11:00:00,-18.35555,-70.34028,1011.3,180005.0,"Chacalluta, Arica Ap."
2023-01-05 12:00:00,-18.35555,-70.34028,1011.8,180005.0,"Chacalluta, Arica Ap."
2023-01-05 13:00:00,-18.35555,-70.34028,1011.9,180005.0,"Chacalluta, Arica Ap."
2023-01-05 14:00:00,-18.35555,-70.34028,1011.7,180005.0,"Chacalluta, Arica Ap."
2023-01-05 15:00:00,-18.35555,-70.34028,1011.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 16:00:00,-18.35555,-70.34028,1010.3,180005.0,"Chacalluta, Arica Ap."
2023-01-05 17:00:00,-18.35555,-70.34028,1009.5,180005.0,"Chacalluta, Arica Ap."
2023-01-05 18:00:00,-18.35555,-70.34028,1009.0,180005.0,"Chacalluta, Arica Ap."
2023-01-05 19:00:00,-18.35555,-70.34028,1008.7,180005.0,"Chacalluta, Arica Ap."
2023-01-05 20:00:00,-18.35555,-70.34028,1008.6,180005.0,"Chacalluta, Arica Ap."
2023-01-05 21:00:00,-18.35555,-70.34028,1008.5,180005.0,"Chacalluta, Arica Ap."
2023-01-05 22:00:00,-18.35555,-70.34028,1008.9,180005.0,"Chacalluta, Arica Ap."
2023-01-05 23:00:00,-18.35555,-70.34028,1009.7,180005.0,"Chacalluta, Arica Ap."
2023-01-06 00:00:00,-18.35555,-70.34028,1010.8,180005.0,"Chacalluta, Arica Ap."
2023-01-06 01:00:00,-18.35555,-70.34028,1011.5,180005.0,"Chacalluta, Arica Ap."
2023-01-06 02:00:00,-18.35555,-70.34028,1011.7,180005.0,"Chacalluta, Arica Ap."
2023-01-06 03:00:00,-18.35555,-70.34028,1012.3,180005.0,"Chacalluta, Arica Ap."
