time,latitud,longitud,TxPM,CodigoNacional,nombreEstacion
1992-05-13 00:00:00,-18.35555,-70.34028,22.6,180005.0,"Chacalluta, Arica Ap."
1992-05-14 00:00:00,-18.35555,-70.34028,22.2,180005.0,"Chacalluta, Arica Ap."
1992-05-15 00:00:00,-18.35555,-70.34028,24.0,180005.0,"Chacalluta, Arica Ap."
1992-05-16 00:00:00,-18.35555,-70.34028,23.8,180005.0,"Chacalluta, Arica Ap."
1992-05-17 00:00:00,-18.35555,-70.34028,24.4,180005.0,"Chacalluta, Arica Ap."
1992-05-18 00:00:00,-18.35555,-70.34028,23.1,180005.0,"Chacalluta, Arica Ap."
1992-05-19 00:00:00,-18.35555,-70.34028,24.2,180005.0,"Chacalluta, Arica Ap."
1992-05-20 00:00:00,-18.35555,-70.34028,23.4,180005.0,"Chacalluta, Arica Ap."
1992-05-21 00:00:00,-18.35555,-70.34028,23.2,180005.0,"Chacalluta, Arica Ap."
1992-05-22 00:00:00,-18.35555,-70.34028,22.9,180005.0,"Chacalluta, Arica Ap."
1992-05-23 00:00:00,-18.35555,-70.34028,22.6,180005.0,"Chacalluta, Arica Ap."
1992-05-24 00:00:00,-18.35555,-70.34028,23.0,180005.0,"Chacalluta, Arica Ap."
1992-05-25 00:00:00,-18.35555,-70.34028,23.7,180005.0,"Chacalluta, Arica Ap."
1992-05-26 00:00:00,-18.35555,-70.34028,23.4,180005.0,"Chacalluta, Arica Ap."
1992-05-27 00:00:00,-18.35555,-70.34028,24.0,180005.0,"Chacalluta, Arica Ap."
1992-05-28 00:00:00,-18.35555,-70.34028,22.8,180005.0,"Chacalluta, Arica Ap."
1992-05-29 00:00:00,-18.35555,-70.34028,23.4,180005.0,"Chacalluta, Arica Ap."
1992-05-30 00:00:00,-18.35555,-70.34028,21.5,180005.0,"Chacalluta, Arica Ap."
1992-05-31 00:00:00,-18.35555,-70.34028,21.6,180005.0,"Chacalluta, Arica Ap."
1992-06-01 00:00:00,-18.35555,-70.34028,21.0,180005.0,"Chacalluta, Arica Ap."
1992-06-02 00:00:00,-18.35555,-70.34028,20.8,180005.0,"Chacalluta, Arica Ap."
1992-06-03 00:00:00,-18.35555,-70.34028,20.2,180005.0,"Chacalluta, Arica Ap."
1992-06-04 00:00:00,-18.35555,-70.34028,20.4,180005.0,"Chacalluta, Arica Ap."
